"Id","baseMean","log2foldchange.LLO.vs.Neg","BH.adjusted.p.values","LLO1_raw","LLO2_raw","LLO3_raw","Neg1_raw","Neg2_raw","Neg3_raw","LLO1_norm","LLO2_norm","LLO3_norm","Neg1_norm","Neg2_norm","Neg3_norm"
"12213","ENSG00000169246",245.408926975702,1.10169741085587,0.000976453290445268,66,64,42,17,33,14,63.6707667820516,59.2873681178293,43.1607668044181,18.5876980055761,36.5221249324675,12.0536588892986
"12287","ENSG00000256771",244.814445338252,-1.03718078403837,0.000857484866795838,1497,1370,1024,528,475,503,1444.16875564744,1269.12022377228,1052.30060018391,577.312032173188,525.697252815821,433.070744379801
"12529","ENSG00000183161",243.6803630203,-1.10164625001236,2.84819378563318e-06,44,46,88,2,1,3,42.447177854701,42.6127958346898,90.4320828283046,2.18678800065602,1.10673105855962,2.58292690484971
"12547","ENSG00000261578",239.206990036598,1.0078380489792,4.88385781358647e-05,345,325,361,82,182,205,332.824462724361,301.068666223352,370.977067057022,89.6583080268966,201.425052657851,176.50000516473
"12707","ENSG00000279520",238.944555234482,1.9533994376457,7.45564319258195e-12,71,70,76,36,28,40,68.4943097200858,64.8455588788758,78.1004351698994,39.3621840118083,30.9884696396694,34.4390253979961
"12787","ENSG00000173762",231.32744376804,1.29644771857012,1.72368777231341e-05,9479,8001,14617,39,50,75,9144.47270192526,7411.8473798555,15020.9744852424,42.6423660127923,55.3365529279811,64.5731726212427
"12818","ENSG00000198576",227.602993296752,2.98414070209792,9.97853191589105e-26,65,107,158,2,8,10,62.7060581944447,99.1210685719958,162.366694169001,2.18678800065602,8.85384846847698,8.60975634949902
"12842","ENSG00000143217",214.836955642302,-1.37057422096193,2.84361589450526e-08,2688,2690,2129,938,1201,1305,2593.13668348719,2491.92219120251,2187.83982206205,1025.60357230767,1329.18400133011,1123.57320360962
"13002","ENSG00000210100",213.977342570659,1.02485732906931,1.94129709661523e-05,16735,14142,20850,7550,6051,7062,16144.3982136005,13100.6556237866,21426.237806479,8255.12470247646,6696.82963534428,6080.20993401621
"13074","ENSG00000197405",213.316125556536,1.07080898793825,0.00046217565424805,36,19,22,5,2,12,34.7295091538463,17.6009374099806,22.6080207070762,5.46697000164004,2.21346211711925,10.3317076193988
